,entsoe_wind_DE_50HZ,entsoe_solar_DE_50HZ,wpl_wind_DE_50HZ,atlite_wind_DE_50HZ,pvlib_mastr_solar_DE_50HZ,atlite_solar_DE_50HZ,entsoe_wind_DE_AMPRION,entsoe_solar_DE_AMPRION,wpl_wind_DE_AMPRION,atlite_wind_DE_AMPRION,pvlib_mastr_solar_DE_AMPRION,atlite_solar_DE_AMPRION,entsoe_wind_DE_TENNET,entsoe_solar_DE_TENNET,wpl_wind_DE_TENNET,atlite_wind_DE_TENNET,pvlib_mastr_solar_DE_TENNET,atlite_solar_DE_TENNET,entsoe_wind_DE_TRANSNET,entsoe_solar_DE_TRANSNET,wpl_wind_DE_TRANSNET,atlite_wind_DE_TRANSNET,pvlib_mastr_solar_DE_TRANSNET,atlite_solar_DE_TRANSNET
2023-07-13 01:00:00,657.75,0.0,723.64524410718,551.1903389109453,0.0,0.0,2308.25,0.0,1767.9836137991124,1263.2722594338923,0.0,0.0,5049.25,0.0,6709.474167596253,6218.487049392702,0.0,0.0,389.5,0.0,517.8966206091421,259.6452242146513,0.0,0.0
2023-07-13 02:00:00,763.25,0.75,1021.5230909926839,819.6307454514549,0.0,0.0,2402.75,0.0,1966.7928346570577,1405.1394413516894,0.0,0.0,5578.75,0.0,7438.222269799728,6855.27731372662,0.0,0.0,400.75,0.0,457.57958039198803,229.46266592451602,0.0,0.0
2023-07-13 03:00:00,930.0,140.25,1446.8608575485725,1154.9263289248274,0.030408801059613168,0.0,2605.0,19.75,2442.290682356833,1772.6766540468286,0.0,0.0,5665.0,50.25,8214.873990914659,7692.207733950136,0.0,0.0,343.5,13.75,423.3594029340083,220.1646090465124,0.0,0.0
2023-07-13 04:00:00,1030.5,822.5,1515.3467107544725,1221.7558113954187,323.0428905381634,48.57158435580028,2581.75,388.25,2604.77898744152,1908.5077745171704,60.50096030698396,0.014645548932460594,5451.25,720.5,8731.048295499177,8001.156122549963,221.83233104178086,7.491769039646547,325.25,251.75,333.0611230596936,180.72688193060011,18.48329149668958,0.0019230243782052698
2023-07-13 05:00:00,794.25,2468.5,1373.5911136451818,1098.1444824748553,1740.784291091109,572.4016187327167,2223.25,1314.25,2631.096890996387,1961.357525983212,1051.6303787202014,304.812101209714,4387.5,2215.5,8487.402838279768,7782.816820148391,2232.8760484625186,807.0090912091134,196.75,746.0,210.22940290008722,118.04554738854597,481.77882753644326,162.7580254242193
2023-07-13 06:00:00,807.75,4787.5,883.4699291010362,734.8794864694706,3811.046812087286,2490.403865110796,2049.0,2629.75,2413.2725892448466,1929.5770445346757,2733.2802520236664,1485.1982038339015,4392.5,4612.75,7172.483581614897,6792.774804048617,5348.791706671206,3278.996054820176,66.75,1616.25,82.70270061070529,49.2687406818728,1396.6728241789895,756.3730251921346
2023-07-13 07:00:00,1603.75,6824.5,1607.3636575009175,1364.627868732293,6754.278460990627,5534.2430756895865,2053.75,4010.75,3341.9265186857942,2793.8094741274517,4686.390771369461,3860.7057339090957,5486.25,7268.0,7557.619597524142,7069.3422958406745,8103.6756598893435,6474.683914188692,50.25,2666.25,34.18668810824916,18.297214400074875,2683.4394933105445,2157.570235435615
2023-07-13 08:00:00,2346.0,7879.25,3194.7169608604236,2810.7075433741347,9569.583081808336,8328.976369121647,2501.5,5263.75,4017.2803424370077,3310.8138591906586,6046.544315002383,5485.508732249036,7049.75,9059.75,7764.496810311158,7338.8568781794265,12870.242834207285,11054.301683059371,107.75,3526.75,49.245938028579296,25.55825473952797,4143.449427876716,3635.2406143095054
2023-07-13 09:00:00,2964.5,7783.25,4705.205005050576,4038.5202104902783,11507.955521862606,10247.972387644693,3069.0,6276.5,4373.7691141356745,3560.053530542605,7084.855994569899,6631.019382452153,7843.25,9934.0,9131.95681532025,8545.747905658858,18095.475948730655,15799.905590584469,198.5,4049.25,175.9878770630636,110.33729979433548,5375.815366877355,4847.798284455151
2023-07-13 10:00:00,3359.75,7387.5,2750.8109641236388,2329.4992387918705,11729.060023478669,10614.83328398778,3490.25,6389.75,2858.046230135705,2297.2847107586986,8179.723978152347,7705.6314200342185,8374.75,10450.5,10148.795061354467,9632.787356891082,21695.76503268639,19050.393711406523,259.25,4197.0,142.22300713225448,86.6987312096419,6230.425857344842,5663.729079484485
2023-07-13 11:00:00,3580.75,7493.5,3621.8569062208276,3061.1043623307546,11998.725790217644,10860.902623382999,3888.25,5855.5,3704.3351570135446,2990.0364589038545,9359.290998716458,8775.924308937814,8916.5,10703.75,10980.776542697138,10565.894584119966,20892.72555861513,18631.028490370725,255.5,4302.0,163.22301680544794,103.15710810019073,5125.740832875783,4736.134408578312
2023-07-13 12:00:00,3875.25,7602.75,3918.6255352651947,3262.0083392394504,13377.424419319039,12039.011179119098,4052.0,5389.25,4290.601640918454,3482.7160617134064,9219.78933105867,8585.894498302667,8758.75,10476.5,11922.188931961295,11463.134629334236,20591.2248961766,18207.090473837357,241.75,4090.0,140.6250818721972,93.98728620776907,3844.6172092429338,3499.382435650788
2023-07-13 13:00:00,3770.25,6957.0,4773.408621089508,4002.7325642300107,11728.46755802942,10537.933636010277,3476.5,4815.0,4569.379904038192,3720.812234572009,8846.896713259965,8140.75754767657,7517.25,9275.5,11976.276222535951,11333.027082157912,17634.998514504277,15633.60316213781,257.75,3705.75,170.53355933280636,111.55372060803062,4192.900022399465,3749.8186376948674
2023-07-13 14:00:00,4831.0,5831.0,5947.063960507709,5022.306178598863,9351.950690551343,8442.405544547859,2916.0,4073.25,4072.3428823486197,3344.671483397955,7962.010505380329,7332.944971207232,6730.5,7792.5,11196.223005750224,10563.562415716897,16603.745667589672,14706.035980849014,284.0,3157.5,194.78614182884422,127.34460556933985,4421.718277996231,4015.7042616122867
2023-07-13 15:00:00,5384.25,4265.5,7299.624672529905,6267.2897491753665,8252.277507879198,7364.900721017144,2305.25,3336.75,3027.0851736359755,2467.9255522375497,5633.893181193355,5294.738347073731,6336.25,6262.5,9897.76349213384,9241.141731975664,13876.909256322859,12307.80059911168,318.75,2477.5,264.6512892552977,164.90100051204968,3483.9112486080785,3108.041244786425
