,entsoe_wind,entsoe_solar,atlite_wind,atlite_solar,wpl_wind,pvlib_uniform_solar,pvlib_mastr_solar
2023-04-13 22:00:00,2539.0,0.0,2708.1615175134843,0.0,2875.1020149031315,0.0,0.0
2023-04-13 23:00:00,2928.75,0.0,2965.609461465145,0.0,3319.375046547704,0.0,0.0
2023-04-14 00:00:00,3294.75,0.0,3358.149585441013,0.0,3835.836412740469,0.0,0.0
2023-04-14 01:00:00,3351.75,0.0,3241.727892803528,0.0,3722.861134482299,0.0,0.0
2023-04-14 02:00:00,3153.5,0.0,2790.045226599398,0.0,3310.1727486237023,0.0,0.0
2023-04-14 03:00:00,2986.25,0.0,2617.1766971468414,0.0,3213.468458598816,0.0,0.0
2023-04-14 04:00:00,3116.75,97.5,2851.970567887185,0.0,3404.467836250773,0.0,0.0
2023-04-14 05:00:00,3015.75,1828.0,2890.2852011489063,13.59186166900558,3464.502726002832,437.9124858728735,436.15782410884856
2023-04-14 06:00:00,2746.75,6175.5,2830.2927297828264,3213.9643181996357,3331.158832742294,5621.596676640954,5593.522797577958
2023-04-14 07:00:00,2148.0,11624.25,2269.615538122037,10876.189487347168,2731.342152686472,13356.718523210728,13021.960521057477
2023-04-14 08:00:00,1820.5,16651.25,1790.2762858549358,20757.98767133434,2352.43504185727,23915.56040681331,22803.03714759789
2023-04-14 09:00:00,2326.75,19940.25,2283.474147758117,30102.296672364777,3066.9890243368986,34679.04709128171,32807.60298890521
2023-04-14 10:00:00,3158.25,21120.25,2391.6664290110425,34853.107001463504,3054.864769503984,39959.54104977745,37867.67786128234
2023-04-14 11:00:00,3643.5,20610.75,3542.9259306360827,40384.32548619109,4514.238198778935,47145.25207120296,44804.457765524945
2023-04-14 12:00:00,4487.75,19964.0,4580.02527053405,41702.21338039956,5726.11352285772,49066.72435384083,46780.7420247518
2023-04-14 13:00:00,5254.75,17794.0,5222.377787430196,39103.84435583912,6302.451303690737,46162.69772681096,44139.785709908894
2023-04-14 14:00:00,5966.25,14177.0,5382.773244120252,35292.57148688952,6576.095086277608,41575.38595573846,39921.81897564086
2023-04-14 15:00:00,6081.25,9566.75,5342.9458697735,27520.765367942928,6450.691565824069,32396.97795019328,31404.48529645124
2023-04-14 16:00:00,5962.0,4833.0,5649.287993558236,18999.44766041259,6844.546267288097,22279.682108513236,22447.926743022315
2023-04-14 17:00:00,5665.25,1225.5,5988.674981961606,9545.979500034797,7057.640825996421,10354.035551690917,12927.169937728884
2023-04-14 18:00:00,6210.75,32.25,6760.768478527625,1414.0323945331609,8002.6192329805035,3034.777630369038,3969.780257070331
2023-04-14 19:00:00,6703.75,0.0,7705.198678804802,0.0,9315.770147001134,81.44947157852123,80.49624951221341
2023-04-14 20:00:00,6823.0,0.0,7754.850303128669,0.0,9596.777675040597,0.0,0.0
2023-04-14 21:00:00,6686.75,0.0,7659.970708432039,0.0,9589.34338494724,0.0,0.0
2023-04-14 22:00:00,6413.5,0.0,7883.46117997127,0.0,9830.567105645567,0.0,0.0
2023-04-14 23:00:00,6261.0,0.0,6882.764276958861,0.0,8570.481185821263,0.0,0.0
2023-04-15 00:00:00,6359.0,0.0,6451.671809296597,0.0,8043.093314637728,0.0,0.0
2023-04-15 01:00:00,6607.25,0.0,6518.882301223263,0.0,8096.552648358864,0.0,0.0
2023-04-15 02:00:00,7259.5,0.0,7073.414718709251,0.0,8794.26833208915,0.0,0.0
2023-04-15 03:00:00,8278.75,0.0,7613.116350837053,0.0,9355.509224402997,0.0,0.0
2023-04-15 04:00:00,9486.0,98.75,8334.478833829671,0.0,10055.811068177212,0.0,0.0
2023-04-15 05:00:00,10031.5,1616.0,9339.904470774734,14.180919030792928,11143.78715132933,347.66600584257446,346.1403732734048
2023-04-15 06:00:00,9920.75,4695.25,9954.183632598515,2441.933869103718,11636.752297873045,4491.044452364406,4472.0960445171995
2023-04-15 07:00:00,9744.0,8129.5,11044.431918803964,8694.389311480716,12359.643184653374,10916.680443496201,10666.701056714144
2023-04-15 08:00:00,10267.5,10791.75,14030.186640889557,13259.887783723796,15364.267963447983,15815.145385541378,15286.393525675929
2023-04-15 09:00:00,10902.25,11805.75,15719.437606443245,17293.62657751896,17473.402289791913,20382.78900424373,19651.78060273798
