,KWF1_actual,KWF2_actual,KWF3_actual,KWF4_actual,KWF5_actual,KWF6_actual
2023-07-12 14:00:00,1168.0495211283376,1195.8833440144865,947.3012791951504,-0.1028765866688142,-1.32325786203146,957.6367192586268
2023-07-12 15:00:00,1131.3457913716638,1165.4698923746748,782.489833704631,-0.0866048356052488,-1.3183674494425455,978.0839272816983
2023-07-12 16:00:00,692.259886423747,692.0717112223307,546.3767907460532,-0.10874508734171588,-1.5482170313596726,564.2840489705405
2023-07-12 17:00:00,605.734352874756,645.4035451253256,457.6532784144085,-0.11408008707997701,-1.1218616063396134,601.2907389322917
2023-07-12 18:00:00,580.2000125818086,621.0060244576974,516.0155714035036,-0.10776700284332036,-1.0143613484998542,356.3460124969483
2023-07-12 19:00:00,270.16442553202313,299.45586942036954,302.30281511942553,-0.09460733585680525,-0.9677690217892326,137.40732403596246
2023-07-12 20:00:00,610.5483277638756,550.8714459737142,325.81864769458775,-0.12128233696954945,-0.9722054963049135,448.40386460622153
2023-07-12 21:00:00,243.45130252838138,306.67218755086265,119.91489475965506,-0.10474383601297932,-0.9866193555295465,172.76578273773194
2023-07-12 22:00:00,400.6384606679281,465.3016475677491,92.27999721964204,-0.14173317106130218,-0.9727483600378036,233.63884816723467
2023-07-12 23:00:00,651.9229693094891,702.5754750569662,189.84709847768147,-0.1426597769061724,-1.008315026760101,504.61183301691426
2023-07-13 00:00:00,813.9633209228517,887.9802566528319,207.32913595835376,-0.16316208803715807,-1.016584269205729,575.5214998881023
2023-07-13 01:00:00,969.2320765177416,1036.3863393147792,245.4952516555787,-0.19045950539099668,-1.038368853678306,759.7044670104982
2023-07-13 02:00:00,918.3993186950688,938.4412328084317,271.6246366500855,-0.16520717178160943,-1.0573970248301825,708.4326960245771
2023-07-13 03:00:00,901.605020141602,890.1248817443848,222.39345871487964,-0.1632510038868834,-1.0659330253799757,670.6025138854982
2023-07-13 04:00:00,901.4684285481771,903.0163889567061,226.82140531539918,-0.16707442284872134,-1.101588606586059,576.3737408955893
2023-07-13 05:00:00,667.5330914815266,669.1997855470892,172.07719549045225,-0.14448958714492618,-1.0445930264890195,492.81972796122244
2023-07-13 06:00:00,367.5141208648682,309.02756196996427,101.61815956830976,-0.13799867091389992,-1.027787776539723,306.2495300928752
2023-07-13 07:00:00,446.7375314076742,380.16971168518074,132.5589550584555,-0.40626026305059604,-1.0317890254159767,355.3230496883393
2023-07-13 08:00:00,478.91468175252294,379.7148728370667,315.7931051254273,-0.11968183638527989,-1.0168552574881338,392.9098747253418
2023-07-13 09:00:00,308.23524926503507,288.4622261921565,185.562396791329,-0.2856003432689857,-1.0108936051527657,301.7439508631826
2023-07-13 10:00:00,363.1555058161418,282.7113713900248,217.85956885019937,-0.26781700877472747,-1.03267819583416,297.73238919241396
2023-07-13 11:00:00,319.25342953999854,261.11136653721337,164.5327399959167,-0.10963893332600333,-1.3255697006980578,279.68356812795014
2023-07-13 12:00:00,436.9719033559165,521.9743850072225,461.4426895777387,-0.11096800295636057,-1.4698814471562696,272.8224361410675
2023-07-13 13:00:00,307.4032302655673,292.0906136194866,220.36788101196294,-0.11843700312698885,-1.486686692635218,223.9123374382655
2023-07-13 14:00:00,170.93911884625754,188.86764017364442,110.90292950364064,-0.09674133594768741,-1.006181020786365,183.01246553659448
2023-07-13 15:00:00,240.0078934927782,270.01788914998383,242.96918506274628,-0.1366649203157673,-0.9833294436335565,208.48553560425842
2023-07-13 16:00:00,392.37988344828295,394.1755815505983,402.6525509993235,-0.12048208749232191,-1.1229286042352518,288.1273536364237
2023-07-13 17:00:00,180.0961493174235,164.35031944910682,103.2079134564226,-0.11701433636868992,-1.2345190102855363,134.1746138910453
2023-07-13 18:00:00,196.54133119583128,206.94844932556154,191.53816275596628,-0.08322600253547231,-0.9504302705327669,190.79188709259037
2023-07-13 19:00:00,236.95373490651457,235.49630304972334,47.737313720025135,-0.10998991960659621,-0.9777276925742625,197.69307473500575
2023-07-13 20:00:00,241.97330716451015,293.1828500111898,59.32722353686891,-0.15151400345688068,-0.9983563577135405,164.26867631276448
2023-07-13 21:00:00,194.48001658121746,249.9398963928223,175.54887172381083,-0.12021533699395753,-1.1290638528764243,60.772995950033284
2023-07-13 22:00:00,172.9099909464518,190.7219083786011,75.87513735716543,-0.15024577086023463,-1.0053059005423597,88.70964734049123
2023-07-13 23:00:00,330.2367479960125,405.74756863911944,76.27429695328078,-0.14297800435063743,-1.1135923571884634,183.21617669174847
2023-07-14 00:00:00,364.5602908285041,436.9684430440268,95.7760183175405,-0.15338125508278608,-1.0535736074050266,307.1793663024903
2023-07-14 01:00:00,261.7017231623332,279.5957899729411,155.05876344379627,-0.15542633806665737,-1.0731352786223094,169.0511435190837
2023-07-14 02:00:00,99.70375493367514,108.88289545962687,28.721197574958207,-0.17303183741557096,-1.0784702708323797,66.51148290634156
2023-07-14 03:00:00,171.65561771392822,176.97212244669598,10.71383935287595,-0.14822408749411506,-1.1819692696134252,160.12820021311447
2023-07-14 04:00:00,387.8149878184001,400.81702130635585,311.50236072540287,-0.14902433788714306,-1.0926080259184043,267.74145469665535
2023-07-14 05:00:00,351.8962599436443,450.01200586954764,398.8112122853598,-0.15533742077338197,-1.042370101561149,331.91372248331714
2023-07-14 06:00:00,247.52046578725182,337.4750164667766,292.7202607154847,-0.17294292103809614,-1.1787682751814523,167.4123880465826
2023-07-14 07:00:00,191.85052286783855,236.34853359858195,206.33158334096274,-0.15373692073238393,-1.0975873611867426,108.87522318797807
2023-07-14 08:00:00,161.3256251653036,112.43293071736895,164.82461442947388,-0.14244450439388553,-1.1908609390258789,140.3720774014791
2023-07-14 09:00:00,366.1863353093467,160.12413467913868,453.932038052877,-0.13934735139367402,-1.0449954927751894,331.334778598317
